Index 1,Item Link (Front),Item Link (Back),i Tatti Photograph ID#,Artwork Title,Artist Name,Size (Height)[cm],Size (Width)[cm],Artwork Provenance,Medium (from Artwork),Bibliographic References,Subject (Personal Names),Subject (Generic Terms),Photographer Name,Photograph Provenance,Print Type,Image Source (from Photograph),Filename (from Photograph)
BPA1010,109897_1_45942662.jpg,109897_2_45942663.jpg,109897,Holy Family + Infant St John,Paris Bordone,100 cm,137 cm,Sir Phillip Stephens,canvas paintings,"G. Canova, p. 81",Jesus Christ,biblical,,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,109897_1_45942662.jpg
,,,,,,,,"Christie Sale, May 17 1810",,,"Mary, Blessed Virgin, Saint",religious art,,,,,109897_2_45942663.jpg
,,,,,,,,lot 77,,,"John, the Baptist, Saint",,,,,,
,,,,,,,,"Lord Ranelgh, 1829",,,,,,,,,
,,,,,,,,"Stirling Coll., Keir",,,,,,,,,
,,,,,,,,"Stirling Sale Sotheby, July 3, 1963 lot 44",,,,,,,,,
,,,,,,,,"Christie Sale, Dec. 10, 1982 lot 60",,,,,,,,,
,,,,,,,,"Casa Venier, Venice",,,,,,,,,
BPA1011,110164_1_45936377.jpg,110164_2_45936378.jpg,110164,Madonna with Infant John,Jacopo Bassano,77 cm,88 cm,"(110164) Coll: Earl of Carlisle; Edenbridge (Kent), Archibald Werner; Sotheby Sale, March 27, 1968 lot 27",canvas paintings,(110165) Bou' d'Arte. VIII. 1929 (2). pp. 407-413|Arsan. F8. 27. I. p. 167,"Mary, Blessed Virgin, Saint",biblical,Thomas Agnew & Sons,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,110164_1_45936377.jpg
,110165_1_45936379.jpg,110165_2_45936380.jpg,110165,The Madonna + Child + St. John,,,,"Exh: The New Gallery, 1894-5; Agnus's, June 1953 (n. 2); Venice 1957 n.52",,,Jesus Christ,Christianity,A. C. Cooper,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,110164_2_45936378.jpg
,,,,,,,,"(110165) Prov: Lord Carlisle, Castle Howard; Hon. Geoffrey W. A. Howard, 1944; Edenbridge (Kent), Archibald Werner; Sotheby Sale, March 27, 1968 lot 27",,,"John, the Baptist, Saint",maestà,,,,,110165_1_45936379.jpg
,,,,,,,,Exh: Venice 1957 n.52,,,,religious art,,,,,110165_2_45936380.jpg
BPA1013,110168_1_45936387.jpg,110168_2_45936388.jpg,110168,[Untitled],Jacopo Bassano,,,"Canova, Milano (1954) already sold",canvas paintings,,"Mary, Blessed Virgin, Saint",biblical,Mario Perotti,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,110168_1_45936387.jpg
,,,,,,,,p with Müncheau alteyniei,,,Jesus Christ,Christianity,,,,,110168_2_45936388.jpg
,,,,,,,,HOMELESS,,,,maestà,,,,,
,,,,,,,,,,,,religious art,,,,,
BPA1014,110186_1_45936413.jpg,110186_2_45936414.jpg,110186,Rest m Feight (variant of the Ambrosiana),Jacopo Bassano,120 cm,155 cm,"Acquired in Fenence c. 1871 by Sir John Leslie; Desmond Leslie, Castle Leslie, Co. Monaghan, Eire",canvas paintings,,"Mary, Blessed Virgin, Saint",biblical,,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,110186_1_45936413.jpg
,,,,,,,,"Sotheby Sale, Dec. 12, 1973 lot 84",,,Joseph (Son of Jacob),Christianity,,,,,110186_2_45936414.jpg
,,,,,,,,,,,Jesus Christ,gospels,,,,,
,,,,,,,,,,,,religious art,,,,,
BPA1015,110226_1_45936475.jpg,110226_2_45936476.jpg,110226,Portrait of Old Woman,Jacopo Bassano,118 cm,98.5 cm,Wotney Coll. Cornbury Park,canvas paintings,,Old woman,portraits,,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,110226_1_45936475.jpg
,,,,,,,,"Christie Sale, June 23, 1967 lot 37",,,,women (female humans),,,,,110226_2_45936476.jpg
,,,,,,,,"July 11, 1975 lot 182",,,,,,,,,
,,,,,,,,"Sotheby Sale, New York, June 11, 1981 lot 122",,,,,,,,,
,,,,,,,,"Oliver Vernon; O. V. Wotney; CORNBURY PARK (Chorpbury, Oxon)",,,,,,,,,
